case_id,gate_id,dt_id,window_index,holdout,Ctot_field_relative_L2_error,Ctot_field_Linf_error,Ctot_increment_relative_L2_error,phi_field_relative_L2_error,phi_field_Linf_error,phi_increment_relative_L2_error,hvolume,hvolume_reference,hvolume_increment_relative_error,equimolar_hvolume_interface_error_dx,phi_half_interface_position_dx,phi_half_interface_reference_dx,phi_half_interface_error_dx,interface_direction_same,matrix_profile_capacity_weighted_relative_error,cumulative_transfer,cumulative_transfer_reference,cumulative_transfer_relative_error,far_field_matrix_composition,far_field_reference,far_field_relative_error,final_mass_difference_from_reference_abs,equal_time_accuracy_pass,registered_QoI_pass
V2_G12_dt32_5windows_holdout,G12,dt32,1,False,0.0,0.0,0.0,0.0,0.0,0.0,34.262324785193655,34.262324785193655,0.0,0.0,272.65954451769744,272.65954451769744,0.0,True,0.0,1.9903764146199578,1.9903764146199578,0.0,0.04634652458185524,0.04634652458185524,0.0,0.0,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,2,False,0.0,0.0,0.0,0.0,0.0,0.0,35.34767308286894,35.34767308286894,0.0,0.0,273.20772657767816,273.20772657767816,0.0,True,0.0,3.0199210583043783,3.0199210583043783,0.0,0.0442320300249996,0.0442320300249996,0.0,0.0,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,3,False,0.0,0.0,0.0,0.0,0.0,0.0,36.175684781935935,36.175684781935935,0.0,0.0,273.60317493048393,273.60317493048393,0.0,True,0.0,3.794782242854976,3.794782242854976,0.0,0.04262509873326418,0.04262509873326418,0.0,0.0,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,4,False,0.0,0.0,0.0,0.0,0.0,0.0,36.8716058549826,36.8716058549826,0.0,0.0,273.9538857273926,273.9538857273926,0.0,True,0.0,4.466320753744538,4.466320753744538,0.0,0.04115007969955762,0.04115007969955762,0.0,0.0,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,5,True,0.0,0.0,0.0,0.0,0.0,0.0,37.48369278301014,37.48369278301014,0.0,0.0,274.2625623637305,274.2625623637305,0.0,True,0.0,5.040642422197221,5.040642422197221,0.0,0.039847939194507506,0.039847939194507506,0.0,0.0,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,1,False,8.810850795926787e-07,3.0883358508315695e-06,6.194836535460697e-06,4.734669300879971e-05,0.00015406138899820565,0.00042751713770402904,34.262331002313104,34.262324785193655,2.74811091813978e-06,3.1085597212848026e-06,272.6595460363091,272.65954451769744,1.5186116684162698e-06,True,3.4519480903939496e-06,1.9903827865647132,1.9903764146199578,3.2013767388851944e-06,0.04634651331078831,0.04634652458185524,2.431911999591769e-07,3.3312375080640777e-10,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,2,False,3.0355371368557337e-06,9.592295513782823e-06,1.5238103830473676e-05,0.00025339673262976645,0.000894627971909645,0.0015854561064124586,35.34765748285774,35.34767308286894,4.6599565749416504e-06,7.800005596635714e-06,273.20771073991165,273.20772657767816,1.5837766511594964e-05,True,8.602190353351268e-06,3.019904542251372,3.0199210583043783,5.4690346824479185e-06,0.04423205860195815,0.0442320300249996,6.460693423604668e-07,2.193559112129151e-09,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,3,False,2.8105721388750877e-06,9.200020288813171e-06,1.1796882667584953e-05,0.00039810517327651027,0.001386384056081602,0.00203813574110969,36.17568620063281,36.175684781935935,3.3975190858238284e-07,7.093484371506146e-07,273.60315943106514,273.60317493048393,1.549941879375183e-05,True,9.235959695853943e-06,3.794783303678953,3.794782242854976,2.795480502480262e-07,0.042625096581815305,0.04262509873326418,5.04737569450647e-08,3.2350442324968753e-09,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,4,False,3.4540810594323575e-06,8.397209655397475e-06,1.288376661744962e-05,0.00046960946891278204,0.0016359924817841431,0.002098498805711245,36.87161612379158,36.8716058549826,2.107889942123855e-06,5.134404491855011e-06,273.9538696959457,273.9538857273926,1.603144693262948e-05,True,5.797325089988103e-06,4.466331966530959,4.466320753744538,2.5105197406263728e-06,0.04115006028503477,0.04115007969955762,4.7179794042268217e-07,3.6396201608113188e-09,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,5,True,3.906524742377212e-06,1.2441181561406722e-05,1.3371935743443476e-05,0.0005559764803867877,0.0019495475535182827,0.002244887092016312,37.48370925361286,37.48369278301014,3.0035604427104567e-06,8.235301361513406e-06,274.2625497869966,274.2625623637305,1.2576733922742278e-05,True,3.1690276013496384e-06,5.04066278196792,5.040642422197221,4.0391221978054995e-06,0.03984790713496048,0.039847939194507506,8.045471778998512e-07,4.1204444301001786e-09,True,True
